Reel #,Atlas,Trip,Operator,Vessel / Train,Days,From,To,Departure / Season,Regions,Stops,Sea days,Route (abbrev.),Source URL
01,World Cruise,Epic Northwest Passage – Iceland to Japan (71 days),Nat Geo-Lindblad,National Geographic Resolution,71,"Reykjavík, Iceland","Osaka, Japan",14 Jul 2026 - 22 Sep 2026,4,62,25,Reykjavík → Flateyri → Vigur Island → Isafjördur → Tasermiut → Julianehåb → …,https://www.virtuoso.com/advisor/brianharris/cruises/323814/epic-northwest-passage-iceland-to-japan
02,World Cruise,From The Arctic to Antarctica (87 days),Viking,Viking Polaris,87,"Nuuk, Greenland","Ushuaia, Argentina",17 Sep 2026 - 12 Dec 2026,8,48,31,Nuuk → Itilleq Fjord → Ilulissat → Uummannaq → Baffin Bay → Pond Inlet → …,https://www.virtuoso.com/advisor/brianharris/cruises/298464/from-the-arctic-to-antarctica
03,Private Jet,Seven Continents by Private Jet: The Ultimate Around the World Journey,TCS World Travel,Private jet,29,Miami,London,12/27/2026 – 1/24/2027,,13,,Miami → Machu Picchu → Easter Island → Papeete → Great Barrier Reef → Angkor Wat → …,https://www.virtuoso.com/advisor/brianharris/tours/18136557/the-ultimate-around-the-world-journey-seven-continents-by-private-jet
04,World Cruise,Kangaroo Route (130 days),Oceania Cruises,Vista,130,"Sydney, Australia","Southampton, United Kingdom",26 Feb 2027 - 05 Jul 2027,7,82,41,Sydney → Mooloolaba → Whitsunday Island → Cairns → Darwin → Komodo Island (Indonesia) → …,https://www.virtuoso.com/advisor/brianharris/cruises/343090/kangaroo-route
05,Rail,From Rome to Istanbul,La Dolce Vita Orient Express,La Dolce Vita Orient Express,5,"Rome, Italy","Istanbul, Turkey",10/22/2026 – 10/26/2026,1,5,,Rome → Venezia → Budapest → Brasov → Istanbul,https://www.virtuoso.com/advisor/brianharris/tours/18380630/from-rome-to-istanbul
06,World Cruise,Across Three Continents – Oceania to Antarctica (82 days),Seabourn,Seabourn Pursuit,82,"Broome, Australia","Ushuaia, Argentina",16 Aug 2027 - 05 Nov 2027,5,57,33,Broome → Whirlpool Passage → Talbot Bay → Montgomery Reef → Freshwater Cove → Swift Bay → …,https://www.virtuoso.com/advisor/brianharris/cruises/338320/across-three-continents-oceania-to-antarctica
07,Private Jet,Hidden Horizons with Geoffrey Kent: A Private Jet Journey,Abercrombie & Kent,Private jet,26,Azores,"Accra, Ghana",10/14/2027 – 11/8/2027,,7,,Azores → Algiers → Sofia → Almaty → Seychelles → Victoria Falls → …,https://www.virtuoso.com/advisor/brianharris/tours/18228560/hidden-horizons-with-geoffrey-kent-a-private-jet-journey
08,Yacht,Vancouver to Tokyo (19 days),Ritz-Carlton Yacht Collection,Luminara,19,"Vancouver, BC Canada","Yokohama, Japan",21 Sep 2026 - 09 Oct 2026,2,7,12,Vancouver → Ketchikan → Sitka → Seward → Dutch Harbor → Hakodate → …,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/18093618/vancouver-to-tokyo-21sep2026-09oct2026
09,World Cruise,Star Collector – Grand Mediterranean and Latin America... (82 days),Windstar Cruises,Star Legend,82,"Istanbul, Turkey","Puerto Caldera, Costa Rica",19 Oct 2026 - 28 Dec 2026,6,49,25,Istanbul → Myrina → Mykonos → Kusadasi → Bodrum → Santorini → …,https://www.virtuoso.com/advisor/brianharris/cruises/343950/star-collector-grand-mediterranean-and-latin-america-adventure
10,Private Jet,The Silk Road by Private Jet,National Geographic,Private jet,20,Istanbul,Baku / Istanbul / Home,5/27/2027 – 6/15/2027,,9,,Istanbul → Yerevan → Bukhara → Almaty → Dunhuang → Hoi An → …,https://www.expeditionbucketlist.com/national-geographic-private-jet-trips
